,xmin,ymin,xmax,ymax,label,score,image_path,Dead,geometry,index_right,utmZone,individualID,taxonID,siteID,plotID,plantStatus
6,550131.6000000001,5068852.600000001,550138.0,5068846.2,Tree,0.656992495059967,ABBY_008_2018.tif,0,"POLYGON ((550138 5068852.600000001, 550138 5068846.2, 550131.6000000001 5068846.2, 550131.6000000001 5068852.600000001, 550138 5068852.600000001))",32,10N,NEON.PLA.D16.ABBY.01745,PSMEM,ABBY,ABBY_008,Live
7,550134.9,5068846.0,550140.3,5068840.9,Tree,0.6310633420944214,ABBY_008_2018.tif,0,"POLYGON ((550140.3 5068846, 550140.3 5068840.9, 550134.9 5068840.9, 550134.9 5068846, 550140.3 5068846))",35,10N,NEON.PLA.D16.ABBY.02540,PSMEM,ABBY,ABBY_008,Live
8,550138.5,5068856.0,550145.5,5068848.600000001,Tree,0.6164337396621704,ABBY_008_2018.tif,0,"POLYGON ((550145.5 5068856, 550145.5 5068848.600000001, 550138.5 5068848.600000001, 550138.5 5068856, 550145.5 5068856))",31,10N,NEON.PLA.D16.ABBY.01744,PSMEM,ABBY,ABBY_008,Live
9,550133.2000000001,5068841.100000001,550138.3,5068836.300000001,Tree,0.5914490818977356,ABBY_008_2018.tif,0,"POLYGON ((550138.3 5068841.100000001, 550138.3 5068836.300000001, 550133.2000000001 5068836.300000001, 550133.2000000001 5068841.100000001, 550138.3 5068841.100000001))",34,10N,NEON.PLA.D16.ABBY.02539,PSMEM,ABBY,ABBY_008,Live
10,550116.6000000001,5068843.4,550124.0,5068835.800000001,Tree,0.5729891061782837,ABBY_008_2018.tif,0,"POLYGON ((550124 5068843.4, 550124 5068835.800000001, 550116.6000000001 5068835.800000001, 550116.6000000001 5068843.4, 550124 5068843.4))",36,10N,NEON.PLA.D16.ABBY.02658,PSMEM,ABBY,ABBY_008,Live
21,550140.0,5068842.4,550145.9,5068835.2,Tree,0.314866304397583,ABBY_008_2018.tif,0,"POLYGON ((550145.9 5068842.4, 550145.9 5068835.2, 550140 5068835.2, 550140 5068842.4, 550145.9 5068842.4))",33,10N,NEON.PLA.D16.ABBY.02537,PSMEM,ABBY,ABBY_008,Live
19,548515.6,5069409.800000001,548519.5,5069405.4,Tree,0.48025697469711304,ABBY_010_2018.tif,0,"POLYGON ((548519.5 5069409.800000001, 548519.5 5069405.4, 548515.6 5069405.4, 548515.6 5069409.800000001, 548519.5 5069409.800000001))",37,10N,NEON.PLA.D16.ABBY.02708,PSMEM,ABBY,ABBY_010,Live
27,548507.3,5069403.800000001,548513.0,5069399.0,Tree,0.44651463627815247,ABBY_010_2018.tif,0,"POLYGON ((548513 5069403.800000001, 548513 5069399, 548507.3 5069399, 548507.3 5069403.800000001, 548513 5069403.800000001))",40,10N,NEON.PLA.D16.ABBY.02712,PSMEM,ABBY,ABBY_010,Live
28,548517.4,5069415.9,548521.3,5069411.7,Tree,0.4446793794631958,ABBY_010_2018.tif,0,"POLYGON ((548521.3 5069415.9, 548521.3 5069411.7, 548517.4 5069411.7, 548517.4 5069415.9, 548521.3 5069415.9))",41,10N,NEON.PLA.D16.ABBY.02724,PSMEM,ABBY,ABBY_010,Live
32,548506.1,5069410.100000001,548510.1,5069405.9,Tree,0.42809540033340454,ABBY_010_2018.tif,0,"POLYGON ((548510.1 5069410.100000001, 548510.1 5069405.9, 548506.1 5069405.9, 548506.1 5069410.100000001, 548510.1 5069410.100000001))",39,10N,NEON.PLA.D16.ABBY.02711,PSMEM,ABBY,ABBY_010,Live
38,548525.6,5069419.4,548530.9,5069414.2,Tree,0.37528663873672485,ABBY_010_2018.tif,0,"POLYGON ((548530.9 5069419.4, 548530.9 5069414.2, 548525.6 5069414.2, 548525.6 5069419.4, 548530.9 5069419.4))",42,10N,NEON.PLA.D16.ABBY.02729,PSMEM,ABBY,ABBY_010,Live
0,553086.4,5066637.2,553092.5,5066630.4,Tree,0.7948088645935059,ABBY_014_2019.tif,0,"POLYGON ((553092.5 5066637.2, 553092.5 5066630.4, 553086.4 5066630.4, 553086.4 5066637.2, 553092.5 5066637.2))",60,10N,NEON.PLA.D16.ABBY.01645,PSMEM,ABBY,ABBY_014,Live
3,553093.6000000001,5066637.8,553099.2000000001,5066632.0,Tree,0.718645453453064,ABBY_014_2019.tif,1,"POLYGON ((553099.2000000001 5066637.8, 553099.2000000001 5066632, 553093.6000000001 5066632, 553093.6000000001 5066637.8, 553099.2000000001 5066637.8))",59,10N,NEON.PLA.D16.ABBY.01638,PSMEM,ABBY,ABBY_014,Live
6,553096.2000000001,5066630.100000001,553101.8,5066624.0,Tree,0.674793541431427,ABBY_014_2019.tif,0,"POLYGON ((553101.8 5066630.100000001, 553101.8 5066624, 553096.2000000001 5066624, 553096.2000000001 5066630.100000001, 553101.8 5066630.100000001))",54,10N,NEON.PLA.D16.ABBY.01628,PSMEM,ABBY,ABBY_014,Live
7,553088.8,5066628.100000001,553093.1000000001,5066623.7,Tree,0.6738811135292053,ABBY_014_2019.tif,1,"POLYGON ((553093.1000000001 5066628.100000001, 553093.1000000001 5066623.7, 553088.8 5066623.7, 553088.8 5066628.100000001, 553093.1000000001 5066628.100000001))",53,10N,NEON.PLA.D16.ABBY.01622,PSMEM,ABBY,ABBY_014,Live
17,553092.7000000001,5066643.3,553098.0,5066638.0,Tree,0.5939928889274597,ABBY_014_2019.tif,0,"POLYGON ((553098 5066643.3, 553098 5066638, 553092.7000000001 5066638, 553092.7000000001 5066643.3, 553098 5066643.3))",58,10N,NEON.PLA.D16.ABBY.01637,ACMA3,ABBY,ABBY_014,Live
17,553092.7000000001,5066643.3,553098.0,5066638.0,Tree,0.5939928889274597,ABBY_014_2019.tif,0,"POLYGON ((553098 5066643.3, 553098 5066638, 553092.7000000001 5066638, 553092.7000000001 5066643.3, 553098 5066643.3))",57,10N,NEON.PLA.D16.ABBY.01636,PSMEM,ABBY,ABBY_014,Live
21,553082.8,5066630.9,553087.8,5066625.8,Tree,0.5839683413505554,ABBY_014_2019.tif,1,"POLYGON ((553087.8 5066630.9, 553087.8 5066625.8, 553082.8 5066625.8, 553082.8 5066630.9, 553087.8 5066630.9))",52,10N,NEON.PLA.D16.ABBY.01621,PSMEM,ABBY,ABBY_014,Live
1,551926.4,5066146.4,551932.2000000001,5066140.4,Tree,0.6962527632713318,ABBY_016_2018.tif,0,"POLYGON ((551932.2000000001 5066146.4, 551932.2000000001 5066140.4, 551926.4 5066140.4, 551926.4 5066146.4, 551932.2000000001 5066146.4))",76,10N,NEON.PLA.D16.ABBY.02924,PSMEM,ABBY,ABBY_016,Live
2,551936.9,5066159.0,551942.2000000001,5066153.5,Tree,0.6549251079559326,ABBY_016_2018.tif,0,"POLYGON ((551942.2000000001 5066159, 551942.2000000001 5066153.5, 551936.9 5066153.5, 551936.9 5066159, 551942.2000000001 5066159))",77,10N,NEON.PLA.D16.ABBY.02921,PSMEM,ABBY,ABBY_016,No longer qualifies
3,551926.6000000001,5066153.600000001,551931.8,5066148.3,Tree,0.6357858777046204,ABBY_016_2018.tif,0,"POLYGON ((551931.8 5066153.600000001, 551931.8 5066148.3, 551926.6000000001 5066148.3, 551926.6000000001 5066153.600000001, 551931.8 5066153.600000001))",75,10N,NEON.PLA.D16.ABBY.02919,PSMEM,ABBY,ABBY_016,Live
3,551926.6000000001,5066153.600000001,551931.8,5066148.3,Tree,0.6357858777046204,ABBY_016_2018.tif,0,"POLYGON ((551931.8 5066153.600000001, 551931.8 5066148.3, 551926.6000000001 5066148.3, 551926.6000000001 5066153.600000001, 551931.8 5066153.600000001))",74,10N,NEON.PLA.D16.ABBY.02918,PSMEM,ABBY,ABBY_016,Live
4,551930.9,5066162.100000001,551936.4,5066157.2,Tree,0.6324228644371033,ABBY_016_2018.tif,0,"POLYGON ((551936.4 5066162.100000001, 551936.4 5066157.2, 551930.9 5066157.2, 551930.9 5066162.100000001, 551936.4 5066162.100000001))",68,10N,NEON.PLA.D16.ABBY.02662,PSMEM,ABBY,ABBY_016,Live
7,551933.0000000001,5066147.8,551939.0000000001,5066141.600000001,Tree,0.6027379631996155,ABBY_016_2018.tif,0,"POLYGON ((551939.0000000001 5066147.8, 551939.0000000001 5066141.600000001, 551933.0000000001 5066141.600000001, 551933.0000000001 5066147.8, 551939.0000000001 5066147.8))",73,10N,NEON.PLA.D16.ABBY.02917,PSMEM,ABBY,ABBY_016,Live
10,551932.3,5066155.2,551936.4,5066150.8,Tree,0.5921380519866943,ABBY_016_2018.tif,0,"POLYGON ((551936.4 5066155.2, 551936.4 5066150.8, 551932.3 5066150.8, 551932.3 5066155.2, 551936.4 5066155.2))",71,10N,NEON.PLA.D16.ABBY.02914,PSMEM,ABBY,ABBY_016,Live
15,551926.7000000001,5066166.5,551931.3,5066161.5,Tree,0.5347714424133301,ABBY_016_2018.tif,0,"POLYGON ((551931.3 5066166.5, 551931.3 5066161.5, 551926.7000000001 5066161.5, 551926.7000000001 5066166.5, 551931.3 5066166.5))",66,10N,NEON.PLA.D16.ABBY.02656,PSMEM,ABBY,ABBY_016,Live
22,551918.6000000001,5066157.8,551924.8,5066151.8,Tree,0.5024049878120422,ABBY_016_2018.tif,0,"POLYGON ((551924.8 5066157.8, 551924.8 5066151.8, 551918.6000000001 5066151.8, 551918.6000000001 5066157.8, 551924.8 5066157.8))",64,10N,NEON.PLA.D16.ABBY.01767,PSMEM,ABBY,ABBY_016,Live
22,551918.6000000001,5066157.8,551924.8,5066151.8,Tree,0.5024049878120422,ABBY_016_2018.tif,0,"POLYGON ((551924.8 5066157.8, 551924.8 5066151.8, 551918.6000000001 5066151.8, 551918.6000000001 5066157.8, 551924.8 5066157.8))",63,10N,NEON.PLA.D16.ABBY.01757,PSMEM,ABBY,ABBY_016,Live
23,551917.0000000001,5066162.600000001,551922.2000000001,5066157.2,Tree,0.5010545253753662,ABBY_016_2018.tif,0,"POLYGON ((551922.2000000001 5066162.600000001, 551922.2000000001 5066157.2, 551917.0000000001 5066157.2, 551917.0000000001 5066162.600000001, 551922.2000000001 5066162.600000001))",62,10N,NEON.PLA.D16.ABBY.01756,PSMEM,ABBY,ABBY_016,Live
32,551931.9,5066169.4,551936.9,5066164.7,Tree,0.45368796586990356,ABBY_016_2018.tif,0,"POLYGON ((551936.9 5066169.4, 551936.9 5066164.7, 551931.9 5066164.7, 551931.9 5066169.4, 551936.9 5066169.4))",67,10N,NEON.PLA.D16.ABBY.02660,PSMEM,ABBY,ABBY_016,Live
33,551917.3,5066150.4,551923.8,5066143.8,Tree,0.44994667172431946,ABBY_016_2018.tif,0,"POLYGON ((551923.8 5066150.4, 551923.8 5066143.8, 551917.3 5066143.8, 551917.3 5066150.4, 551923.8 5066150.4))",70,10N,NEON.PLA.D16.ABBY.02692,PSMEM,ABBY,ABBY_016,Live
33,551917.3,5066150.4,551923.8,5066143.8,Tree,0.44994667172431946,ABBY_016_2018.tif,0,"POLYGON ((551923.8 5066150.4, 551923.8 5066143.8, 551917.3 5066143.8, 551917.3 5066150.4, 551923.8 5066150.4))",69,10N,NEON.PLA.D16.ABBY.02665,PSMEM,ABBY,ABBY_016,Live
39,551930.0000000001,5066157.600000001,551933.7000000001,5066154.2,Tree,0.3570916950702667,ABBY_016_2018.tif,0,"POLYGON ((551933.7000000001 5066157.600000001, 551933.7000000001 5066154.2, 551930.0000000001 5066154.2, 551930.0000000001 5066157.600000001, 551933.7000000001 5066157.600000001))",65,10N,NEON.PLA.D16.ABBY.02507,PSMEM,ABBY,ABBY_016,Live
1,552430.0,5066787.2,552433.0,5066784.2,Tree,0.7071980237960815,ABBY_019_2019.tif,0,"POLYGON ((552433 5066787.2, 552433 5066784.2, 552430 5066784.2, 552430 5066787.2, 552433 5066787.2))",83,10N,NEON.PLA.D16.ABBY.02573,PSMEM,ABBY,ABBY_019,Live
4,552440.6,5066779.4,552443.6,5066776.3,Tree,0.6917402148246765,ABBY_019_2019.tif,0,"POLYGON ((552443.6 5066779.4, 552443.6 5066776.3, 552440.6 5066776.3, 552440.6 5066779.4, 552443.6 5066779.4))",87,10N,NEON.PLA.D16.ABBY.02683,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",87,10N,NEON.PLA.D16.ABBY.02683,PSMEM,ABBY,ABBY_019,Live
27,552427.0,5066778.6,552430.4,5066775.2,Tree,0.5854756832122803,ABBY_019_2019.tif,0,"POLYGON ((552430.4 5066778.6, 552430.4 5066775.2, 552427 5066775.2, 552427 5066778.6, 552430.4 5066778.6))",88,10N,NEON.PLA.D16.ABBY.02688,PSMEM,ABBY,ABBY_019,Live
27,552427.0,5066778.6,552430.4,5066775.2,Tree,0.5854756832122803,ABBY_019_2019.tif,0,"POLYGON ((552430.4 5066778.6, 552430.4 5066775.2, 552427 5066775.2, 552427 5066778.6, 552430.4 5066778.6))",91,10N,NEON.PLA.D16.ABBY.03472,PSMEM,ABBY,ABBY_019,Live
28,552422.9,5066786.8,552426.0,5066783.7,Tree,0.5833410024642944,ABBY_019_2019.tif,0,"POLYGON ((552426 5066786.8, 552426 5066783.7, 552422.9 5066783.7, 552422.9 5066786.8, 552426 5066786.8))",78,10N,NEON.PLA.D16.ABBY.02554,PSMEM,ABBY,ABBY_019,Live
33,552424.8,5066791.9,552427.5,5066789.2,Tree,0.5711479187011719,ABBY_019_2019.tif,0,"POLYGON ((552427.5 5066791.9, 552427.5 5066789.2, 552424.8 5066789.2, 552424.8 5066791.9, 552427.5 5066791.9))",81,10N,NEON.PLA.D16.ABBY.02571,PSMEM,ABBY,ABBY_019,Live
34,552428.5,5066789.9,552431.3,5066787.0,Tree,0.5703757405281067,ABBY_019_2019.tif,0,"POLYGON ((552431.3 5066789.9, 552431.3 5066787, 552428.5 5066787, 552428.5 5066789.9, 552431.3 5066789.9))",84,10N,NEON.PLA.D16.ABBY.02574,PSMEM,ABBY,ABBY_019,Live
45,552436.5,5066780.1,552439.5,5066777.0,Tree,0.5483684539794922,ABBY_019_2019.tif,0,"POLYGON ((552439.5 5066780.1, 552439.5 5066777, 552436.5 5066777, 552436.5 5066780.1, 552439.5 5066780.1))",80,10N,NEON.PLA.D16.ABBY.02568,PSMEM,ABBY,ABBY_019,"Live, physically damaged"
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",80,10N,NEON.PLA.D16.ABBY.02568,PSMEM,ABBY,ABBY_019,"Live, physically damaged"
46,552426.2000000001,5066788.6,552428.6,5066785.9,Tree,0.5477126240730286,ABBY_019_2019.tif,0,"POLYGON ((552428.6 5066788.6, 552428.6 5066785.9, 552426.2000000001 5066785.9, 552426.2000000001 5066788.6, 552428.6 5066788.6))",85,10N,NEON.PLA.D16.ABBY.02575,PSMEM,ABBY,ABBY_019,Live
53,552423.2000000001,5066789.7,552426.0,5066787.0,Tree,0.5226613879203796,ABBY_019_2019.tif,0,"POLYGON ((552426 5066789.7, 552426 5066787, 552423.2000000001 5066787, 552423.2000000001 5066789.7, 552426 5066789.7))",82,10N,NEON.PLA.D16.ABBY.02572,PSMEM,ABBY,ABBY_019,Live
56,552426.6,5066781.9,552429.1,5066779.4,Tree,0.5212982892990112,ABBY_019_2019.tif,0,"POLYGON ((552429.1 5066781.9, 552429.1 5066779.4, 552426.6 5066779.4, 552426.6 5066781.9, 552429.1 5066781.9))",79,10N,NEON.PLA.D16.ABBY.02565,PSMEM,ABBY,ABBY_019,Live
66,552441.4,5066775.3,552444.3,5066772.3,Tree,0.4913446307182312,ABBY_019_2019.tif,0,"POLYGON ((552444.3 5066775.3, 552444.3 5066772.3, 552441.4 5066772.3, 552441.4 5066775.3, 552444.3 5066775.3))",100,10N,NEON.PLA.D16.ABBY.05435,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",100,10N,NEON.PLA.D16.ABBY.05435,PSMEM,ABBY,ABBY_019,Live
78,552429.3,5066783.1,552431.7000000001,5066780.5,Tree,0.4583732485771179,ABBY_019_2019.tif,1,"POLYGON ((552431.7000000001 5066783.1, 552431.7000000001 5066780.5, 552429.3 5066780.5, 552429.3 5066783.1, 552431.7000000001 5066783.1))",92,10N,NEON.PLA.D16.ABBY.03473,PSMEM,ABBY,ABBY_019,"Live, physically damaged"
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",86,10N,NEON.PLA.D16.ABBY.02576,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",95,10N,NEON.PLA.D16.ABBY.03604,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",94,10N,NEON.PLA.D16.ABBY.03499,PSMEM,ABBY,ABBY_019,"Live, physically damaged"
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",97,10N,NEON.PLA.D16.ABBY.03606,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",99,10N,NEON.PLA.D16.ABBY.04396,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",96,10N,NEON.PLA.D16.ABBY.03605,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",98,10N,NEON.PLA.D16.ABBY.03607,PSMEM,ABBY,ABBY_019,Live
89,552433.8,5066794.0,552453.8,5066772.8,Tree,0.11490378528833389,ABBY_019_2019.tif,0,"POLYGON ((552453.8 5066794, 552453.8 5066772.8, 552433.8 5066772.8, 552433.8 5066794, 552453.8 5066794))",89,10N,NEON.PLA.D16.ABBY.03200,PSMEM,ABBY,ABBY_019,Live
18,548096.7000000001,5065862.100000001,548100.5,5065858.300000001,Tree,0.5372498035430908,ABBY_023_2018.tif,0,"POLYGON ((548100.5 5065862.100000001, 548100.5 5065858.300000001, 548096.7000000001 5065858.300000001, 548096.7000000001 5065862.100000001, 548100.5 5065862.100000001))",108,10N,NEON.PLA.D16.ABBY.03912,ALRU2,ABBY,ABBY_023,"Live, insect damaged"
